Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,ACM-  Análisis de Mercado Comparativo ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fecha:JULIO 21  - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, CARRERA 17 No. 134-79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bogotá,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dirección, links",,VENTA ,Area Habitable,,Terraza,Area Total,,administracion,,Alcobas,Baños,Parqueadero,Walking closet,LOFT,Estudio/Sala TV,Piso,Alcob. Servic,Depósito,Terraza/Balcón (Área),Edad construcción,Interior/Exterior,Ascensor,Calidad Acabados,"Estado, Conservación *",Ubicación,Estrato,observaciones,Medio de Contacto,Contacto **
,,,Area,$por m2,Area,m2,$ x m2,,$ x m2,,,,,,,,,,,,,,,,,,,,
En Estudio, CARRERA 17 No. 134-79,260000000,37.42,6948156.06627472,,37.42,6948156.06627472,315000,8417.9583110636,1,1,1,NO,NO,NO,4,,1,NO,29,I,1,4,4,5,4,,,
En VENTA,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-los-cedritos-bogota/192268247?_gl=1*877ais*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjwxJvBBhDuARIsAGUgNfhuZfIi3kbicELCtc9fSjlAW8mGQrprJ41xTnRIPDJ095oyLivWy3oaAtYHEALw_wcB&gbraid=0AAAAADxcnHj9Tayk2TP5-z1YqVdevt9EU,250000000,38,6578947.36842105,,38,6578947.36842105,50000,1315.78947368421,1,1,1,NO,NO,NO,5,,1,SI,23,E,1,4,4,5,4,, 3762-633829,C.C. 
,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-los-cedritos-bogota/192318000,245000000,46,5326086.95652174,,46,5326086.95652174,198700,4319.5652173913,1,1,1,NO,NO,NO,4,,1,NO,25,E,1,4,4,5,4,,8067674,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192246298,264000000,33,8000000,,33,8000000,307800,9327.27272727273,1,1,1,NO,NO,NO,2,,1,NO,8,I,1,4,4,5,4,,7869769,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/10613014,275000000,30,9166666.66666667,,30,9166666.66666667,270000,9000,1,1,1,NO,NO,NO,3,,1,NO,8,E,1,4,4,5,4,,7930256,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-cedros-bogota/191119941,262766660,40,6569166.5,,40,6569166.5,339000,8475,1,1,1,NO,NO,NO,3,,1,SI,15,I,1,4,4,5,4,,191119941,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192204699,260000000,36,7222222.22222222,,36,7222222.22222222,269999,7499.97222222222,1,1,1,NO,SI,NO,4,,1,SI,0,E,1,4,4,5,4,,192204699,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/191504386,275000000,48,5729166.66666667,,48,5729166.66666667,450000,9375,1,2,1,NO,NO,SI,2,,1,SI,0,E,1,4,4,5,5,,0,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-usaquen-bogota/10574456,260000000,67,3880597.01492537,,67,3880597.01492537,387800,5788.05970149254,2,2,1,NO,NO,NO,2,,1,SI,0,I,1,4,4,5,6,,0,F.R.
,,,,0,,0,,400000,,1,1.5,1,NO,NO,SI,5,,1,SI,0,I,1,4,4,5,6,,0,F.R.
,,,,0,,0,,526000,,1,1.5,1,SI,NO,NO,5,,1,SI,0,I,1,4,4,5,6,,0,F.R.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,vlr promedio,,,,,6084146.22255488,0.124350955199986,,,,,,,,,,,,,,,,,,,,,
Elaborado por: Diana Patricia Barrera ,,,Fecha:JULIO 21  - 2025,,,,,,,,,,,,,,$  PROM  FINAL SUGERIDO INCLUIDA ADMINISTRACION,,,,,,,,,,,143565113.660355,
