Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,ACM-  Análisis de Mercado Comparativo ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fecha:Julio 15  - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, CALLE 145 #23-06 Edf Genesis Cedritos ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bogotá,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dirección, links",,VENTA ,Area Habitable,,Terraza,Area Total,,administracion,,Alcobas,Baños,Parqueadero,Walking closet,LOFT,Estudio/Sala TV,Piso,Alcob. Servic,Depósito,Terraza/Balcón (Área),Edad construcción,Interior/Exterior,Ascensor,Calidad Acabados,"Estado, Conservación *",Ubicación,Estrato,observaciones,Medio de Contacto,Contacto **
,,,Area,$por m2,Area,m2,$ x m2,,$ x m2,,,,,,,,,,,,,,,,,,,,
En Estudio, CALLE 145 #23-06 Edf Genesis Cedritos ,280000000,37.42,7482629.60983431,,37.42,7482629.60983431,315000,8417.9583110636,1,1,1,NO,NO,NO,4,,1,NO,29,I,1,4,4,5,4,,,
,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-los-cedros-bogota/192295417,280000000,53,5283018.86792453,,53,5283018.86792453,417149,7870.7358490566,1,2,1,NO,NO,NO,2,,1,NO,29,E,1,4,4,5,4,,192295417,F.R.
,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-el-contador-bogota/192514907,265000000,45,5888888.88888889,,45,5888888.88888889,307800,6840,1,1,1,NO,NO,NO,1,,1,NO,29,I,1,4,4,5,4,,192514907,F.R.
,https://www.properati.com.co/detalle/14032-32-86a0-7494f2d627df-197ddbd-93c8-7a33,250000000,37,6756756.75675676,,37,6756756.75675676,380000,10270.2702702703,1,1,1,NO,NO,NO,6,,1,SI,29,E,1,4,4,5,4,,,PP
,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192204699,260000000,36,7222222.22222222,,36,7222222.22222222,269999,7499.97222222222,1,1,1,NO,SI,NO,4,,1,SI,18,E,1,4,4,5,4,,192204699,F.R.
,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-cedros-bogota/191119941,262755660,40.76,6446409.71540726,,40.76,6446409.71540726,339000,8316.97742885182,1,1.5,1,NO,NO,SI,5,,1,SI,9,I,1,4,4,5,6,,191119941,F.R.
,,,32,0,,32,,,,1,1.5,1,SI,NO,NO,5,,1,SI,0,I,1,4,4,5,6,,0,F.R.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,vlr promedio,,,,,3630184.87477207,0.514851721378675,,,,,,,,,,,,,,,,,,,,,
Elaborado por: Diana Patricia Barrera ,,,Fecha:Julio 15  - 2025,,,,,,,,,,,,,,$  PROM  FINAL SUGERIDO INCLUIDA ADMINISTRACION,,,,,,,,,,,232859920.651681,
