title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images
"Apartamento en venta en puente aranda, bogotá",,,34 m²,,1.0,,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-puente-aranda-bogota/192891355,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ccc3b85f240_infocdn__zewbkic3be7kqtlbrimglswaii9tsiuiwyh1phsjjpg.jpg; https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/9/0_491_0.jpg
"Apartamento en venta en puente aranda, bogotá",,,34 m²,,1.0,,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-puente-aranda-bogota/192891355,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ccc3b85f240_infocdn__zewbkic3be7kqtlbrimglswaii9tsiuiwyh1phsjjpg.jpg; https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/9/0_491_0.jpg
"Apartamento en venta en avenida centenario, armenia",,,42 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Piscina,300 521 8807,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-centenario-armenia/192875709,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c89e9935580_infocdn__4hj3wi14t9p1waifdx9bp5tnuzg6di4ucmbhegvcjpg.jpg
"Apartamento en venta en avenida centenario, armenia",,,42 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Piscina,300 521 8807,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-centenario-armenia/192875709,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c89e9935580_infocdn__4hj3wi14t9p1waifdx9bp5tnuzg6di4ucmbhegvcjpg.jpg
"Apartamento en venta en colina campestre, bogotá",,,36 m²,2,1.0,,,Apartamento,VENTA,,,https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/192888201,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc1f515ef58_infocdn__os9bii98i4zlrntlflgj2yqxbukrcpmvxntkbiswjpg.jpg
"Apartamento en venta en colina campestre, bogotá",,,36 m²,2,1.0,,,Apartamento,VENTA,,,https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/192888201,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc1f515ef58_infocdn__os9bii98i4zlrntlflgj2yqxbukrcpmvxntkbiswjpg.jpg
"Apartamento en venta en chapinero, bogotá",,,42 m²,,1.0,,,Apartamento,ARRIENDO,Jardín; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192893316,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd9a88aabd4_infocdn__ic3e8ifc5hpzmzgnhrpuz85legi65bhavudh6q3ujpg.jpg
"Apartamento en venta en chapinero, bogotá",,,42 m²,,1.0,,,Apartamento,ARRIENDO,Jardín; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192893316,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd9a88aabd4_infocdn__ic3e8ifc5hpzmzgnhrpuz85legi65bhavudh6q3ujpg.jpg
"Apartamento en venta en chapinero, bogotá",,,5 m²,,1.0,,,Apartamento,VENTA,Gimnasio; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192886101,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb42a877d6c_infocdn__dligq3eam8s2ftplagf8ibnuqdudfsdgmydizvydjpg.jpg
"Apartamento en venta en chapinero, bogotá",,,5 m²,,1.0,,,Apartamento,VENTA,Gimnasio; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192886101,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb42a877d6c_infocdn__dligq3eam8s2ftplagf8ibnuqdudfsdgmydizvydjpg.jpg
"Apartamento en venta en chapinero, bogotá",,,32 m²,,1.0,,,Apartamento,VENTA,,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192873940,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c867d462df3_infocdn__wuvsside1w4z6hezcyu7xykm50nlbqfiduqvdqpojpg.jpg
