address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing
"Apartamento en venta en puente aranda, bogotá",VENTA,34.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 34.0, ""price_per_m2"": 0.0, ""total_area"": 34.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente aranda, bogotá",VENTA,34.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 34.0, ""price_per_m2"": 0.0, ""total_area"": 34.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en avenida centenario, armenia",VENTA,42.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,300 521 8807,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en avenida centenario, armenia",VENTA,42.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,300 521 8807,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,36.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,36.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",VENTA,5.0,True,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 5.0, ""price_per_m2"": 0.0, ""total_area"": 5.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",VENTA,5.0,True,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 5.0, ""price_per_m2"": 0.0, ""total_area"": 5.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",VENTA,32.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 32.0, ""price_per_m2"": 0.0, ""total_area"": 32.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en chapinero, bogotá",VENTA,32.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 32.0, ""price_per_m2"": 0.0, ""total_area"": 32.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en fontibon, bogotá",VENTA,42.0,False,0.0,0.0,2,2.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en fontibon, bogotá",VENTA,42.0,False,0.0,0.0,2,2.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la felicidad, bogotá",VENTA,40.0,False,0.0,0.0,3,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la felicidad, bogotá",VENTA,40.0,False,0.0,0.0,3,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Apartamento en venta en villavicencio,VENTA,36.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Apartamento en venta en villavicencio,VENTA,36.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en madelena, bogotá",VENTA,42.0,False,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,3763079874,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
