title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images,administration,bodega,cocina,conservation_state,construction_age,construction_year,deposit,elevator,finish_quality,floor,interior_exterior,location_quality,loft,mezanine,price_per_m2,property_code,study_room,terrace_area,walking_closet
"Apartamento en venta en gran granada, bogotá",$ 400.000.000,,27 m²,,2.0,,,Apartamento,VENTA,Gimnasio; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-gran-granada-bogota/193126562,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6921efc474a53_infocdn__kqafr1slo4tkgwde3juuxulsrvnjdy4rgdaxrv42jpg.jpg; https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2020/9/21/8826_58_1.jpg,,False,True,4,,,False,False,4,7,,5,False,False,14814814.81,193126562,True,,False
"Apartamento en venta en gran granada, bogotá",$ 400.000.000,,27 m²,,2.0,,,Apartamento,VENTA,Gimnasio; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-gran-granada-bogota/193126562,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6921efc474a53_infocdn__kqafr1slo4tkgwde3juuxulsrvnjdy4rgdaxrv42jpg.jpg; https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2020/9/21/8826_58_1.jpg,,False,True,4,,,False,False,4,7,,5,False,False,14814814.81,193126562,True,,False
,$ 400.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 450.000.000,,90 m²,3,2.0,2,,Apartamento,VENTA,Jardín; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193143747,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251127030137.png; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.68a8ccc424537_nuevo.jpg,,True,True,4,,,True,False,4,,,5,False,False,5000000.0,193143747,False,,False
"Apartamento en venta en cedritos, bogotá",$ 450.000.000,,90 m²,3,2.0,2,,Apartamento,VENTA,Jardín; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193143747,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251127030137.png; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.68a8ccc424537_nuevo.jpg,,True,True,4,,,True,False,4,,,5,False,False,5000000.0,193143747,False,,False
,$ 450.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 430.000.000,,84 m²,2,2.0,,,Apartamento,VENTA,Ascensor; Vigilancia; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193142421,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251126214714.png; https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/110x50/site/fincaraiz_service/media/corporation/logo/4d982f41-d8f4-43cc-a001-0a437091df8b/opt/2024021313474159669.png,,False,True,4,,,True,True,4,5,I,5,False,False,5119047.62,193142421,False,,False
"Apartamento en venta en cedritos, bogotá",$ 430.000.000,,84 m²,2,2.0,,,Apartamento,VENTA,Ascensor; Vigilancia; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193142421,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251126214714.png; https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/110x50/site/fincaraiz_service/media/corporation/logo/4d982f41-d8f4-43cc-a001-0a437091df8b/opt/2024021313474159669.png,,False,True,4,,,True,True,4,5,I,5,False,False,5119047.62,193142421,False,,False
,$ 430.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en salitre greco, bogotá",$ 648.000.000,,73 m²,,2.0,,,Apartamento,VENTA,Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-venta-en-salitre-greco-bogota/193141956,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692737d5c9812_infocdn__ekratwvy7e815ghafgdonyovq2piv09m2b6qxb1ejpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.682654ac24a00_logo-a&p-inmobiliaria.jpg,,False,False,4,,,False,False,4,,,5,False,False,8876712.33,193141956,False,,False
"Apartamento en venta en salitre greco, bogotá",$ 648.000.000,,73 m²,,2.0,,,Apartamento,VENTA,Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-venta-en-salitre-greco-bogota/193141956,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692737d5c9812_infocdn__ekratwvy7e815ghafgdonyovq2piv09m2b6qxb1ejpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.682654ac24a00_logo-a&p-inmobiliaria.jpg,,False,False,4,,,False,False,4,,,5,False,False,8876712.33,193141956,False,,False
,$ 648.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en gran granada, bogotá",$ 408.000.000,,80 m²,,2.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-gran-granada-bogota/193130168,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69249d39a44d5_infocdn__bpwid4js34dkymaaekwfr1m6twx2pqpidwnrj2rljpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.682654ac24a00_logo-a&p-inmobiliaria.jpg,,False,False,4,,,False,True,4,2,I,5,False,False,5100000.0,193130168,True,,False
"Apartamento en venta en gran granada, bogotá",$ 408.000.000,,80 m²,,2.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-gran-granada-bogota/193130168,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69249d39a44d5_infocdn__bpwid4js34dkymaaekwfr1m6twx2pqpidwnrj2rljpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.682654ac24a00_logo-a&p-inmobiliaria.jpg,,False,False,4,,,False,True,4,2,I,5,False,False,5100000.0,193130168,True,,False
,$ 408.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 450.000.000,,67 m²,2,2.0,1,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193131773,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924dabed4a26_infocdn__0gkjgycupwpdtx9lm7m2guh1hodrfhijdouzztp3jpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.688390a418fde_image-(11).png,,False,True,4,18,,True,False,4,4,,5,False,False,6716417.91,193131773,True,,False
"Apartamento en venta en cedritos, bogotá",$ 450.000.000,,67 m²,2,2.0,1,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193131773,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924dabed4a26_infocdn__0gkjgycupwpdtx9lm7m2guh1hodrfhijdouzztp3jpg.jpg; https://cdn4.fincaraiz.com.co/repo/img/th.outside110x50.688390a418fde_image-(11).png,,False,True,4,18,,True,False,4,4,,5,False,False,6716417.91,193131773,True,,False
,$ 450.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
