title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images
"Apartamento en arriendo en robledo, medellín",,,50 m²,2,2.0,,,Apartamento,ARRIENDO,Ascensor; Parqueadero; Closet,3044328635,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/192894658,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cdeed39ba46_infocdn__lcfmsu0r33nzeaiivnuvymp28jtl3kbshlqdsy5rjpg.jpg
"Apartamento en arriendo en robledo, medellín",,,50 m²,2,2.0,,,Apartamento,ARRIENDO,Ascensor; Parqueadero; Closet,3044328635,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/192894658,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cdeed39ba46_infocdn__lcfmsu0r33nzeaiivnuvymp28jtl3kbshlqdsy5rjpg.jpg
"Apartamento en arriendo en campo valdes no.1, medellín",,,55 m²,,1.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-campo-valdes-no1-medellin/192887812,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc12dc7f180_infocdn__800x600-whatsapp-image-2025-09-17-at-10-26-38-amjpeg.jpeg
"Apartamento en arriendo en campo valdes no.1, medellín",,,55 m²,,1.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-campo-valdes-no1-medellin/192887812,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc12dc7f180_infocdn__800x600-whatsapp-image-2025-09-17-at-10-26-38-amjpeg.jpeg
"Apartamento en arriendo en guayaquil, medellín",,,50 m²,,2.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-guayaquil-medellin/192894348,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde1a19035b_infocdn__800x600-19-amjpeg.jpeg
"Apartamento en arriendo en guayaquil, medellín",,,50 m²,,2.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-guayaquil-medellin/192894348,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde1a19035b_infocdn__800x600-19-amjpeg.jpeg
"Apartamento en arriendo en belen las playas, medellín",,,40 m²,,1.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-las-playas-medellin/192873609,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c85d8b7e06a_infocdn__68e0b50b-ab03-4716-be76-9084e59d5703.jpeg
"Apartamento en arriendo en belen las playas, medellín",,,40 m²,,1.0,,,Apartamento,ARRIENDO,,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-las-playas-medellin/192873609,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c85d8b7e06a_infocdn__68e0b50b-ab03-4716-be76-9084e59d5703.jpeg
"Apartamento en arriendo en laureles, medellín",$1.300.000,,46 m²,,1.0,,,Apartamento,ARRIENDO,Ascensor; Balcón,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/192885001,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb1813ddecc_infocdn__3543f891-2fd8-441e-bfd7-052ebb1ead06.jpeg
"Apartamento en arriendo en laureles, medellín",$1.300.000,,46 m²,,1.0,,,Apartamento,ARRIENDO,Ascensor; Balcón,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/192885001,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb1813ddecc_infocdn__3543f891-2fd8-441e-bfd7-052ebb1ead06.jpeg
