address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing,price_per_m2,total_price_per_m2,admin_per_m2
"Apartamento en venta en gran granada, bogotá",VENTA,27.0,False,0.0,0.0,0,2.0,0,False,False,True,7,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 27.0, ""price_per_m2"": 14814814.81, ""total_area"": 27.0, ""total_price_per_m2"": 14814814.81, ""admin_per_m2"": 0.0}",14814814.81,14814814.81,0.0
"Apartamento en venta en gran granada, bogotá",VENTA,27.0,False,0.0,0.0,0,2.0,0,False,False,True,7,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 27.0, ""price_per_m2"": 14814814.81, ""total_area"": 27.0, ""total_price_per_m2"": 14814814.81, ""admin_per_m2"": 0.0}",14814814.81,14814814.81,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedritos, bogotá",VENTA,90.0,True,0.0,0.0,3,2.0,2,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 90.0, ""price_per_m2"": 5000000.0, ""total_area"": 90.0, ""total_price_per_m2"": 5000000.0, ""admin_per_m2"": 0.0}",5000000.0,5000000.0,0.0
"Apartamento en venta en cedritos, bogotá",VENTA,90.0,True,0.0,0.0,3,2.0,2,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 90.0, ""price_per_m2"": 5000000.0, ""total_area"": 90.0, ""total_price_per_m2"": 5000000.0, ""admin_per_m2"": 0.0}",5000000.0,5000000.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedritos, bogotá",VENTA,84.0,True,0.0,0.0,2,2.0,0,False,False,False,5,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 84.0, ""price_per_m2"": 5119047.62, ""total_area"": 84.0, ""total_price_per_m2"": 5119047.62, ""admin_per_m2"": 0.0}",5119047.62,5119047.62,0.0
"Apartamento en venta en cedritos, bogotá",VENTA,84.0,True,0.0,0.0,2,2.0,0,False,False,False,5,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 84.0, ""price_per_m2"": 5119047.62, ""total_area"": 84.0, ""total_price_per_m2"": 5119047.62, ""admin_per_m2"": 0.0}",5119047.62,5119047.62,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en salitre greco, bogotá",VENTA,73.0,False,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 73.0, ""price_per_m2"": 8876712.33, ""total_area"": 73.0, ""total_price_per_m2"": 8876712.33, ""admin_per_m2"": 0.0}",8876712.33,8876712.33,0.0
